ID;Название
1;"62 - бакалавр"
2;"68 - магистры"
3;"030300.62 Психология (бакалавр)"
4;"080100.62 Экономика (бакалавр)"
5;"080100.62 Финансы и кредит"
7;"040400.62 Социальная работа (бакалавр)"
8;"040400.62 Специализация:Социальная работа в государственной службе медико-социальной эксертизы"
9;"040400.62 Специализация:Социальная работа в силовых структурах"
10;"040400.62 Специализация:Социальная работа на предприятиях и фирмах разных видов деятельности организационно-правовых форм и форм собственности"
15;"080400.62 Управление персоналом (бакалавр)"
16;"081100.62 Государственное и муниципальное управление (бакалавр)"
17;"100400.62 Туризм (бакалавр)"
18;"37.03.01 Психология"
19;"000000 Все направления"
20;ДПО
21;"ДПО - ПК ППС"
22;"38.03.01 Экономика (бакалавр)"
23;"38.03.02 Менеджмент (бакалавр)"
24;"38.03.02 Менеджмент (академический бакалавр) Маркетинг"
25;"39.03.02 Социальная работа (академический бакалавр)"
26;"39.03.02 Социальная работа (бакалавр)"
27;"43.03.02 Туризм (академический бакалавр)"
28;"38.03.03 Управление персоналом (академический бакалавр)"
29;"38.03.04 Государственное и муниципальное управление (бакалавр)"
30;"38.04.02 Менеджмент (магистр)"
31;"38.04.03 Управление персоналом (магистр)"
32;"38.04.03 Управление персоналом (магистр)_Управление персоналом организации"
33;"38.04.04 Государственное и муниципальное управление (магистр)"
34;"38.04.04 Государственное и муниципальное управление (магистр)_Муниципальное управление"
35;"38.04.08 Финансы и кредит (магистр)"
36;"38.04.08 Финансы и кредит (магистр)_Финансовые рынки"
37;"39.03.02 Социальная работа (академический бакалавр)"
38;"39.03.02 Социальная работа (бакалавр)"
39;"39.04.02 Социальная работа (магистр)"
40;"39.04.02 Социальная работа (магистр)_Экономика_право_организация и управление в социальной работе"
41;"40.03.01 Юриспруденция (академический бакалавр)"
42;"40.03.01 Юриспруденция (бакалавр)"
43;"40.04.01 Юриспруденция (магистр)"
44;"40.04.01 Юриспруденция (магистр)_Гражданско-правовой (Корпоративный юрист)"
46;"44.04.02 Психолого-педагогическое образование (магистр)"
47;"44.04.02 Психолого-педагогическое образование (магистр)_Социальная педагогика"
48;"38.04.02 Менеджмент (магистр)_Управление проектами"
49;"65 - специалитет"
50;"080105.65 Финансы и кредит (специалитет)"
51;"ДПО для РГСУ"
52;"050400.62 Психолого-педагогическое образование (бакалавр)"
53;"030501.65 Юриспруденция"
54;"030501.65 Юриспруденция (Гражданское право)"
55;"030900.62 Юриспруденция (академический бакалавр)"
57;"080504.65 Государственное и муниципальное управление"
58;"040101.65 СРБ"
59;"080200.62 Менеджмент (Маркетинг)"
60;"37.05.02 Психология"
61;"37.04.01 Психология (магистр)"
62;"37.04.01 Психология (магистр)"
64;Тренинги
65;"38.03.02 Менеджмент (академический бакалавр) ГМУ"
66;"030301.65 Психология"
67;"080109.65 Бухгалтерский учет, анализ и аудит"
68;"38.03.06 Торговое дело"
69;"39.03.01 Социология (бакалавр)"
1069;"080505.65 Управление персоналом"
1070;"44.03.02 Психолого-педагогическое образование (бакалавр)"
1071;"032001.65 Документоведение и документационное обеспечение управления"
1072;"040101.65 Социальная работа (специалист)"
1073;"040101.65 Социальная работа (специалист) Социальная работа с семьей"
1074;"040101.65 Социальная работа (специалист) Менеджмент в социальной работе"
1075;"38.03.01 Экономика (бакалавр) Бухгалтерский учет"
1076;"38.03.01 Экономика (бакалавр) Финансы и кредит"
1077;"38.04.01 Экономика (магистр)"
1078;"38.04.01 Экономика (магистр) Финансы и кредит"
1079;"38.03.02 Менеджмент (бакалавр) Управление проектом"
1080;"39.03.02 Социальная работа в силовых структурах"
1081;"46.03.02 Документоведение и архивоведение (бакалавр)"
1086;2015-2016
1087;2014-2015
1091;"040400.62 Специализация:Психосоциальная работа с населением"
1118;"ДПО для РГСУ (ГМУ-Москва)"
1119;"ДПО для РГСУ (Деловое общение-Москва)"
1120;"Открытые курсы"
1121;"000000 Все направления (Починок Н.Б.)"
1122;"000000 Все направления (Починок Н.Б.) Москва"
1123;"000000 Все направления (Починок Н.Б.) Филиалы"
1124;"ДПО для РГСУ (УПП-252 Москва)"
1125;"ДПО для РГСУ (ГМУ-510 часов Москва)"
1126;"ДПО для РГСУ (ОВЗ) Москва"
1127;"ДПО (Пожилые люди)"
1225;"ДПО для РГСУ (Социология - 22 ч. ППС)"
1233;"000000.65 Все направления"
1234;"38.03.05 Бизнес-информатика"
